image_id,common_scores,residual_scores,common_std,residual_std,same_as_C,same_as_Mean
1288,"[0.4516753419829262, 0.5171694746933094, 0.5308232298407962, 0.4966461443626208, 0.5172402960093612, 0.4812791853943502, 0.4945334452834651, 0.5236672761986827]","[0.11709053703519852, 0.1192683827766226, 0.14575898429637751, 0.13019076459949291, 0.12480461220115008, 0.15009277078281835, 0.10449083831020729, 0.10043537934025115]",0.024514960332124403,0.016580427021207794,False,False
1589,"[0.4588888601153355, 0.525933171296005, 0.4789502838607969, 0.5264449273217963, 0.48843213447244294, 0.46206899320335104, 0.4872852712052568, 0.47094815917025734]","[0.1175515999191265, 0.05004731308207653, 0.130954145840689, 0.11674204815977254, 0.10047542997905584, 0.10051275475070498, 0.12500349121810544, 0.08939364338726145]",0.024512721635834536,0.02414094593764878,False,False
1744,"[0.5082788665186638, 0.543329307482717, 0.485276524568, 0.4907272756594683, 0.515272020542898, 0.4873968200714605, 0.5305880070928868, 0.48901854701334035]","[0.11707416523588612, 0.11397337725120407, 0.092590696462379, 0.07758529229798408, 0.11215035551494251, 0.040563502960502346, 0.046213819387221466, 0.07758321639467192]",0.020572834664483237,0.027953721093621976,False,False
1818,"[0.4825065391874772, 0.48845980767533426, 0.5207570019911951, 0.5341809060619878, 0.5639827993628632, 0.5302402364167327, 0.4690491853932689, 0.5321926950771916]","[0.042196038345214126, 0.06480311055269902, 0.06127689633333611, 0.05898120528716784, 0.06952995090252562, 0.08845053005052034, 0.07133606610414049, 0.07887685064646943]",0.02999930889054,0.012958911216683926,False,False
2070,"[0.3302291346283474, 0.3972106785355022, 0.44203215780190497, 0.5074274490037495, 0.44473923776315666, 0.4079597447081006, 0.37876100349422387, 0.46477107466340795]","[0.10255025430680095, 0.07581753390184612, 0.05769674434393021, 0.046356018444506944, 0.06324119790576363, 0.08346818445419998, 0.08586752798871458, 0.013062832316082337]",0.05141459746623731,0.02597341314000556,False,False
2125,"[0.49398084364522277, 0.4879832946067939, 0.5019917189896204, 0.5481633912275182, 0.5203804346754948, 0.4214172408964185, 0.4822161698681093, 0.46575906274043954]","[0.055088518456783364, 0.011581124489569777, 0.04437509780987976, 0.05782483700041717, 0.04451387872571767, 0.03469224696707825, 0.007116338303417531, 0.06343891984719499]",0.035037524163672895,0.01952944379570053,False,False
2327,"[0.49251875313800264, 0.49745901875632914, 0.5177228412843259, 0.5178069413796542, 0.505125304424794, 0.47877590052483315, 0.5077932473409378, 0.5146048810456173]","[0.033378069828209886, 0.03830707600571696, 0.06465088727317339, 0.06144829401966512, 0.05217316074511223, 0.031818891940688106, 0.1022504613662452, 0.05876639486556731]",0.012835110724782049,0.021424440034815223,True,False
2737,"[0.5686127307999582, 0.5577653267187597, 0.5509050476408327, 0.5447313129802265, 0.5157875854146922, 0.5341088521627049, 0.5528994221303956, 0.5531226273343017]","[0.16871697611435243, 0.1987023383540729, 0.18220445667880586, 0.18034656285098333, 0.14654856967535895, 0.2105751003803675, 0.20172274026410536, 0.20992604725932168]",0.015064934360602847,0.020832681899085187,False,False
2795,"[0.5574462440589192, 0.5316744628310903, 0.5406867954001542, 0.5439993581032232, 0.5626297821953685, 0.5504709198643918, 0.5693451669002996, 0.5411588425559024]","[0.09022747463365974, 0.08543697476820794, 0.08754491543856766, 0.09221777429230167, 0.08803666395054999, 0.08162579777481124, 0.07634415900624555, 0.07343101865036183]",0.01186018845961858,0.006246653776595844,False,False
2980,"[0.559227323250444, 0.5689237696258312, 0.5793741703537518, 0.5619267224937081, 0.5576891029696412, 0.5547813706408933, 0.5818624566726858, 0.5685641856392876]","[0.2358392094734419, 0.2303841332662276, 0.22249253178201772, 0.24118046036060184, 0.2467290702181868, 0.24161136774450231, 0.23019398289669324, 0.2435136879496968]",0.009358381935890262,0.007710979083329231,False,False
3338,"[0.514946442224028, 0.5570186184762665, 0.3791360355140323, 0.48687670508321673, 0.4625155313991736, 0.45560029456391715, 0.4945498178129154, 0.38118047434641883]","[0.02826197694030356, 0.022628930648039437, 0.07173674679384096, 0.04552024020411035, 0.043898008621409745, 0.0425451319494052, 0.035343879946372815, 0.08757355068250018]",0.057867564193963245,0.02052565704326698,False,False
3344,"[0.44676750252529884, 0.4567407913130376, 0.36703295185989937, 0.44282529196351283, 0.50225968155759, 0.4737318625232865, 0.42984322025096267, 0.4139004162641585]","[-0.028256281068814653, -0.028949744387829407, 0.024021529102332736, -0.023220346872939036, -0.0324980735105451, -0.031891304066283585, -0.0036513798395128956, -0.009098488149960492]",0.03780744575891989,0.018346544807892766,False,False
3368,"[0.5069325132926672, 0.5220815767306153, 0.4670909643073068, 0.5241691948217542, 0.4986382876483069, 0.4995475246253114, 0.49682166390827076, 0.5158081388950266]","[0.04895367438091644, 0.06897550814859581, 0.10735346938275454, 0.09570871633297734, 0.08147415373276179, 0.06806426227666099, 0.06742744656392573, 0.08453494784785559]",0.017117410701255303,0.017194999822855484,False,False
