split,phase,image_id,donor_id,candidate,changed_pixel_mae,clip_target_cosine_advantage,pixcorr_advantage,ssim_advantage
train,fp32,38942,4905,0,0.2315152635761335,-0.0021538138389587402,0.12545590463729428,0.027912021357902106
train,fp32,38942,4905,1,0.24398681540894354,0.019190609455108643,-0.06577802765605287,0.07855346140679409
train,fp32,4905,17344,0,0.22113358740713077,0.09040269255638123,0.22362810750910272,-0.07976481944232827
train,fp32,4905,17344,1,0.2600779963474647,0.12675771117210388,0.2118207838339976,-0.12783921453725466
train,fp32,17344,32725,0,0.2250239802341835,0.296305775642395,0.16557274386944754,0.09555425345446815
train,fp32,17344,32725,1,0.226324208577474,0.2196662425994873,-0.04222977569650613,0.10739414753621229
train,fp32,32725,28449,0,0.276169057609209,0.3822063207626343,0.8755063053776708,-0.00958507882640705
train,fp32,32725,28449,1,0.29461225621840537,0.33894580602645874,0.963266246823907,0.011224155441256517
train,fp32,28449,4723,0,0.2446758544522952,0.04456496238708496,0.03482119850063081,0.18834224220769358
train,fp32,28449,4723,1,0.20640750959807766,0.1439833641052246,0.30393798955721046,0.0796203895540033
train,fp32,4723,70126,0,0.226336161295573,0.026643693447113037,-0.18745921760287035,0.01727885300698101
train,fp32,4723,70126,1,0.23108874551611022,0.055647432804107666,0.0496787921431104,0.01662377494713363
train,fp32,70126,26393,0,0.20845186320784823,0.17886167764663696,0.014059953060840402,-0.03060637742128358
train,fp32,70126,26393,1,0.19519728118298096,0.18039202690124512,-0.21309809846758732,-0.05306256976226453
train,fp32,26393,33748,0,0.17055996165556064,0.18222707509994507,-0.1341962961362036,0.1731565662507521
train,fp32,26393,33748,1,0.22229414297864325,0.18790531158447266,-0.17491783137478728,0.13759587564354786
train,fp32,33748,57293,0,0.26421261457056794,0.3940255045890808,0.6033327305857563,0.1786634237075849
train,fp32,33748,57293,1,0.3111392251806322,0.40373319387435913,0.6764299299556776,0.16478955205158086
train,fp32,57293,20217,0,0.22208766563265933,0.21758657693862915,-0.1886445195705336,-0.06463136502734854
train,fp32,57293,20217,1,0.20277578815136077,0.12563163042068481,-0.011356091076171193,0.017995987249673467
train,fp32,20217,15879,0,0.2013385648041769,0.26698291301727295,0.034622606271920736,0.09122852579238391
train,fp32,20217,15879,1,0.21504986831565306,0.18687760829925537,-0.014637486027172977,-0.025478564747639487
train,fp32,15879,69036,0,0.2900183584175859,0.23727643489837646,-0.1642353760261366,-0.017414473134508918
train,fp32,15879,69036,1,0.31030767104204965,0.22460517287254333,-0.20046506178750528,0.03336710518615954
train,fp32,69036,3625,0,0.3487573411729601,0.40544503927230835,0.7672695852078107,0.17205262543924185
train,fp32,69036,3625,1,0.33322942397173716,0.3772417902946472,0.6215181511279914,0.14611671640350304
train,fp32,3625,23696,0,0.21772444481943165,0.18855959177017212,0.033719993268314,-0.0891294653529924
train,fp32,3625,23696,1,0.2808115641276042,0.36988216638565063,0.17028227209382887,-0.09917085686745025
train,fp32,23696,44010,0,0.22800566729377306,0.038584768772125244,-0.101483013526708,0.12084050269655511
train,fp32,23696,44010,1,0.18883953717798974,0.18058240413665771,0.17554686994384805,0.11881583551278618
train,fp32,44010,21652,0,0.20624154782762716,0.26106178760528564,-0.07233887015531651,0.005462873280300873
train,fp32,44010,21652,1,0.26556900622797935,0.35907286405563354,-0.07813971844762038,0.14310715141472538
train,fp32,21652,6970,0,0.193647202635123,0.08819657564163208,0.03517773787872969,-0.004137842428778626
train,fp32,21652,6970,1,0.26887924094605287,0.06969499588012695,0.1024205602221891,0.06781424901690958
train,fp32,6970,35190,0,0.19960051393197256,0.3420087695121765,-0.6023730815374341,0.10789143633479475
train,fp32,6970,35190,1,0.22639710669424018,0.1546834111213684,0.14017088930499977,0.18051562000778154
train,fp32,35190,50780,0,0.31156449162103006,0.380435049533844,-0.08761000952992976,-0.00805325317850522
train,fp32,35190,50780,1,0.2355235679476869,0.2523044943809509,0.028664992519630145,0.01920939696728874
train,fp32,50780,45620,0,0.2542651307349112,0.2498810887336731,0.37933392744005767,0.09447689997318964
train,fp32,50780,45620,1,0.24308092204573892,0.3779955506324768,0.5247147429053686,0.08745190718147422
train,fp32,45620,27323,0,0.21570959652171426,0.4588618874549866,0.206009539504616,0.024263524671886805
train,fp32,45620,27323,1,0.29110374201356976,0.4057573080062866,0.2828292832962894,0.03846888632372497
train,fp32,27323,51581,0,0.200632815890842,0.01142042875289917,0.08478677973187744,-0.049981552714015276
train,fp32,27323,51581,1,0.23336689269620617,0.15913212299346924,0.1812049123795236,-0.00715275702056134
train,fp32,51581,7163,0,0.17140876919615503,0.24965423345565796,-0.030347651207721843,-0.0003264296427190616
train,fp32,51581,7163,1,0.22860573163998663,0.19843345880508423,-0.1437570291327188,0.06727294605974499
train,fp32,7163,50828,0,0.2164177190244587,0.19363775849342346,0.121403134886859,-0.02255014279894857
train,fp32,7163,50828,1,0.17424531325795287,0.27831530570983887,0.107749691047425,0.009267641903270007
train,fp32,50828,53785,0,0.19938844169666567,0.23094451427459717,-0.07956401971332158,0.07994391169703174
train,fp32,50828,53785,1,0.2831065209083307,0.4033467769622803,0.2564632936249352,0.24944954730111885
train,fp32,53785,1851,0,0.17388029908822256,0.2676684260368347,0.308321021417878,0.048217528421489575
train,fp32,53785,1851,1,0.22554945104262422,0.11477744579315186,0.13569607609315407,0.04777898885689516
train,fp32,1851,29558,0,0.19783968457988665,0.25013381242752075,0.09081321968891759,0.09377524673597062
train,fp32,1851,29558,1,0.2183478012583614,0.2647261619567871,0.007931802659792347,0.06678010261066933
train,fp32,29558,59471,0,0.21427067775352326,0.2474592924118042,0.10001901414742728,0.0034791601329861033
train,fp32,29558,59471,1,0.19659868626812715,0.3224714398384094,0.14381034382207894,0.004482429332428373
train,fp32,59471,59462,0,0.19484432943506183,0.2692815959453583,0.08222157733463245,0.03772463255711381
train,fp32,59471,59462,1,0.2080373626908447,0.3166322112083435,-0.012280061019333988,0.0033780788962944897
train,fp32,59462,16584,0,0.22284558863421658,0.4041752517223358,-0.1409584001194304,-0.026411343230525408
train,fp32,59462,16584,1,0.22046001658720116,0.3674367070198059,-0.0014500945889035638,0.009369533819859999
validation,bf16,43211,17865,0,0.29226232291826243,0.011647045612335205,-0.4024119608166785,-0.017754917472055487
validation,bf16,43211,17865,1,0.20631202747619237,0.14919894933700562,-0.17466224560592386,-0.024649539747423288
validation,bf16,17865,54054,0,0.31275312136980443,0.11491256952285767,1.115971821085452,0.3470765683208147
validation,bf16,17865,54054,1,0.30278484369415076,0.1501942276954651,0.8165863780249061,0.35661472969443714
validation,bf16,54054,25374,0,0.22649307250976566,-0.07795152068138123,0.18266556470955347,0.03131650382809592
validation,bf16,54054,25374,1,0.20901096817714723,-0.05857756733894348,0.05510331127637744,-0.0035225317592681993
validation,bf16,25374,48911,0,0.21568434970830777,0.18720951676368713,0.16425401024626116,-0.01637486772600233
validation,bf16,25374,48911,1,0.18369583927727995,0.11874222755432129,0.15133950514183794,0.021295310790749977
validation,bf16,48911,15191,0,0.19894665487451493,0.0944100022315979,-0.0039480622467239004,-0.013622720530975407
validation,bf16,48911,15191,1,0.27989764743381096,0.03306549787521362,0.002526388187988976,-0.09590856626841401
validation,bf16,15191,28157,0,0.18108657138799533,-0.06021595001220703,-0.13453043186930594,0.01726294764665788
validation,bf16,15191,28157,1,0.2431039997175627,-0.014898419380187988,0.16355826893115827,0.04318968764483877
validation,bf16,28157,29610,0,0.20863904766007968,-0.013232171535491943,0.13572344653694457,0.10812336248944163
validation,bf16,28157,29610,1,0.2003948136871937,0.030153870582580566,0.16296343405152444,0.12270546188139911
validation,bf16,29610,13223,0,0.2841036079755795,0.10196709632873535,0.17423507273894634,-0.10765557834008252
validation,bf16,29610,13223,1,0.21818172479766643,-0.01562631130218506,0.02209251342251457,-0.0897870652811793
validation,bf16,13223,62587,0,0.288057075450623,0.004567742347717285,0.48905782655113095,0.14181478500064776
validation,bf16,13223,62587,1,0.22804677626665903,-0.1058388352394104,0.38741831151248113,0.08975646363228884
validation,bf16,62587,34998,0,0.29861162971047794,-0.16952821612358093,0.3619819197906403,0.016671899487441577
validation,bf16,62587,34998,1,0.26904995488185507,0.15303754806518555,0.3230948101004749,0.03857885102110786
validation,bf16,34998,29815,0,0.1626272812388301,0.2609522342681885,0.08724779492713206,-0.01460493293314602
validation,bf16,34998,29815,1,0.2126585617564083,0.27702927589416504,0.177876300542037,-0.14200416915899894
validation,bf16,29815,42302,0,0.12261387444789111,0.2711790204048157,0.2134560364599802,0.03208915716905081
validation,bf16,29815,42302,1,0.16409604440327563,0.18023157119750977,0.19702447753366886,0.28699142110785053
validation,bf16,42302,68553,0,0.23177047928953484,0.09555122256278992,0.15621380928676204,0.038333735452147105
validation,bf16,42302,68553,1,0.23064203199997435,0.0877179205417633,0.05400289920847223,0.009601288293706323
validation,bf16,68553,65690,0,0.29249475516524964,0.22771453857421875,-0.10713917069995599,0.0015690246287484166
validation,bf16,68553,65690,1,0.23563236909754126,0.1196354329586029,-0.15333278991996208,-0.1072987443833367
validation,bf16,65690,41120,0,0.16583898207720582,-0.16752153635025024,0.10723200641643134,0.10263185264368524
validation,bf16,65690,41120,1,0.25743845023360906,-0.09726542234420776,-0.0395020158373655,0.16426099598158736
validation,bf16,41120,64050,0,0.19433669046638835,-0.006183326244354248,0.01258959647643302,0.0024173791700869557
validation,bf16,41120,64050,1,0.21957966922934546,-0.07516312599182129,-0.013292935888976162,0.001982362512759704
validation,bf16,64050,21558,0,0.23211297926559948,0.13337421417236328,0.5888584815583577,0.13945333650810304
validation,bf16,64050,21558,1,0.23330658557368264,0.15254026651382446,0.5213874268708564,0.027044666471255252
validation,bf16,21558,16800,0,0.18228218726862488,0.19713649153709412,0.3242095452858995,-0.009308785613226345
validation,bf16,21558,16800,1,0.20438893137414474,0.15799099206924438,0.022868760295647612,-0.05733035406436909
validation,bf16,16800,5683,0,0.11626286724813624,0.08946645259857178,0.049970619823558285,0.03216092593251024
validation,bf16,16800,5683,1,0.16222282858455875,0.09797918796539307,-0.20933269962027123,0.051406431634912986
