split,phase,image_id,donor_id,candidate,guidance,condition,path,sha256,noise_sha256,clip_target_cosine,clip_donor_cosine,pixcorr,ssim
train,bf16,20217,15879,1,4.0,wrong,g4-wrong/20217-1.png,56316386bda6055e89348a3f02c46fddd9d320aaf116f7c6aadd94ea5ca984b7,9bb0eb851e424337b776988233bca0f9b0b9703bdb62158841eefc42f9e34149,0.507652223110199,0.5310960412025452,0.059380986637373755,0.2975182921246719
train,bf16,15879,69036,0,4.0,correct,g4-correct/15879-0.png,4d3d9de76e5fb2a03aa41bef68f5ba45d36c4a7c9b208522204bf310dc39f176,4f7529cc349f0c11166395691ea3a37adcf291e281069f184da9b7340fc99034,0.7151159644126892,0.5351909399032593,0.0978844576295788,0.1762151469287118
train,bf16,15879,69036,1,4.0,correct,g4-correct/15879-1.png,a583737032511f34463d7f7105b4e52d1626b0ea8d66bf00913978629b724344,4f7529cc349f0c11166395691ea3a37adcf291e281069f184da9b7340fc99034,0.6198019981384277,0.44406336545944214,-0.06622984761781359,0.18815774984143196
train,bf16,15879,69036,0,4.0,wrong,g4-wrong/15879-0.png,1c9be42b0ce18e746404914afe0074c9dd4de26ca51b40aab3c2ff47d7b8e17c,4f7529cc349f0c11166395691ea3a37adcf291e281069f184da9b7340fc99034,0.47621676325798035,0.9331432580947876,0.2602262180382351,0.19376546490568242
train,bf16,15879,69036,1,4.0,wrong,g4-wrong/15879-1.png,cb93c9514f57247269be4114842d9c9b91d0a6331a87384003d9a4e1260e739c,4f7529cc349f0c11166395691ea3a37adcf291e281069f184da9b7340fc99034,0.48805147409439087,0.9494690895080566,0.13316310101058604,0.15871019457809785
train,bf16,69036,3625,0,4.0,correct,g4-correct/69036-0.png,0457ef9f6064ef39e49e808f968279013d49b0ee2a5072e364ee580f3ae96a42,1acec16aba650738ce719ea1e3bbdffbf0ec38d66415cd99991204bc1cc04fb5,0.959843635559082,0.5718054175376892,0.534996021708717,0.3437886654627347
train,bf16,69036,3625,1,4.0,correct,g4-correct/69036-1.png,2610baa8e4cb810ce7ff4eb87b0a57f9b305f03f2a2331fa2bf218e4c2c49fc0,1acec16aba650738ce719ea1e3bbdffbf0ec38d66415cd99991204bc1cc04fb5,0.927013635635376,0.585144579410553,0.5184446001287321,0.35314419729073004
train,bf16,69036,3625,0,4.0,wrong,g4-wrong/69036-0.png,3295e15857456a14dac5aad6241bc2cc08b4b397ae042b22e5be0745a1d6810e,1acec16aba650738ce719ea1e3bbdffbf0ec38d66415cd99991204bc1cc04fb5,0.5310548543930054,0.6832529902458191,-0.23925329661013034,0.17453909261445336
train,bf16,69036,3625,1,4.0,wrong,g4-wrong/69036-1.png,5cbad1c8bb86d2665c75eabcd9e558cc7aada96f4b54684c56dc25d4a4f92ee6,1acec16aba650738ce719ea1e3bbdffbf0ec38d66415cd99991204bc1cc04fb5,0.5412136912345886,0.6280995607376099,-0.1100578094429304,0.20251874250596222
train,bf16,3625,23696,0,4.0,correct,g4-correct/3625-0.png,c65bbae4e6aa051e215d8e522699aaba9e7ea6554ef092572a01598aea80c0c0,d9a5c95b29350d57eb94358eb9a21cd680af72d44f9a1759000eaf57a7e92392,0.7904953956604004,0.5300071835517883,-0.08790170700780434,0.16247106126734384
train,bf16,3625,23696,1,4.0,correct,g4-correct/3625-1.png,761305f2bac99c47f9e9f2f9e9bcb207811707e4edb2a81e3c29610c1db00fdc,d9a5c95b29350d57eb94358eb9a21cd680af72d44f9a1759000eaf57a7e92392,0.8406217098236084,0.5377875566482544,-0.0830322456167818,0.14711624851877822
train,bf16,3625,23696,0,4.0,wrong,g4-wrong/3625-0.png,96b5688abbcf0f65cc6b049c956fa6178ad0e11291157f03e8bf1d3b38aca876,d9a5c95b29350d57eb94358eb9a21cd680af72d44f9a1759000eaf57a7e92392,0.537965714931488,0.7206525802612305,-0.1238752344000624,0.2619229600168549
train,bf16,3625,23696,1,4.0,wrong,g4-wrong/3625-1.png,cec926168e44de2e05296c1008be82218bbcc3bf9e943cbdfe41951c2e2930c0,d9a5c95b29350d57eb94358eb9a21cd680af72d44f9a1759000eaf57a7e92392,0.5110617280006409,0.6988738775253296,-0.246290862216119,0.24544741654415178
train,bf16,23696,44010,0,4.0,correct,g4-correct/23696-0.png,98134b2f6a3395041c588dc3379f619a783c9247475c56ddf75db5ed40551c38,2fd882d695c4a24c1f03243124fd54f215d1c687123a46ba99d6ef66f4bf0827,0.5641843676567078,0.5520605444908142,-0.2523485537107423,0.5168690507234838
train,bf16,23696,44010,1,4.0,correct,g4-correct/23696-1.png,a849f1671e52803f4e46134b6a281d91332843da938acc2dcf6600908106bb84,2fd882d695c4a24c1f03243124fd54f215d1c687123a46ba99d6ef66f4bf0827,0.6581860780715942,0.5460243821144104,0.44267668198928367,0.581278584920638
