method,image_id,CLIP_cosine,CLIP_forward_two_way,CLIP_top1,CLIP_top5,AlexNet5_forward_two_way,Inception_forward_two_way,PixCorr,SSIM
Uniform,11886,0.682402268172548,0.9230961923847696,0.0,0.0,0.9609218436873748,0.9351202404809619,0.21888109881484463,0.38722557127000684
Uniform,12122,0.6547079296491816,0.9944889779559118,0.375,0.875,1.0,0.9912324649298597,0.11959288532051562,0.4073534997184898
Uniform,12225,0.5089180069478515,0.5951903807615231,0.0,0.0,0.8236472945891784,0.6801102204408818,0.034075111213845675,0.4422330332962041
Uniform,12292,0.6077457686468204,0.8218937875751503,0.0,0.0,0.9609218436873748,0.9193386773547094,-0.03619083076932196,0.3153118073215364
Uniform,12340,0.6692042049034754,0.9807114228456913,0.0,0.25,0.7555110220440882,0.9924849699398797,0.064131098527724,0.40603884822352454
Uniform,12386,0.6126667041169922,0.939128256513026,0.0,0.125,0.8476953907815632,0.9646793587174349,-0.0846623440545648,0.1931312638738077
Uniform,12597,0.5519455208290132,0.9398797595190381,0.0,0.5,0.8233967935871744,0.9877254509018036,0.040312490806281236,0.1097518957798859
Uniform,13041,0.6643303030037275,0.9559118236472945,0.0,0.0,0.875250501002004,0.11623246492985971,0.1580369751926387,0.32470185867081414
Uniform,13134,0.6114011176381262,0.9245991983967936,0.125,0.125,0.8033567134268538,0.6725951903807614,-0.07305250620833738,0.26877794089496276
Uniform,13223,0.6075383766345406,0.8872745490981964,0.0,0.0,0.9278557114228456,0.9559118236472945,0.4260056853523731,0.4231200635359407
Uniform,13298,0.6736507240597434,0.9757014028056112,0.25,0.5,0.9574148296593186,0.9256012024048097,-0.30683827198685043,0.13668429156557843
Uniform,13587,0.4902601026417892,0.4581663326653307,0.0,0.0,0.9749498997995991,0.6520541082164328,0.22832068275258194,0.20619999863658867
Uniform,13703,0.5094967064593694,0.6415330661322645,0.0,0.0,0.7670340681362725,0.9271042084168337,0.009709848677752434,0.3244895716508953
Uniform,13741,0.52305027913895,0.6720941883767535,0.0,0.0,0.9293587174348696,0.935370741482966,0.18871223734901987,0.3459953381605385
Uniform,13749,0.44687345580272014,0.4546593186372746,0.0,0.0,0.9220941883767535,0.5160320641282565,0.03247635263543306,0.15653943604192058
Uniform,13826,0.5966779591524212,0.8514529058116234,0.0,0.0,0.9468937875751502,0.779559118236473,-0.0687750564203167,0.44157390623307347
Uniform,13842,0.6960023291816732,0.9230961923847696,0.0,0.0,0.9248496993987976,0.9448897795591182,-0.06117064072842891,0.4213079339616267
Uniform,13879,0.5333720345411335,0.8399298597194389,0.0,0.0,0.9784569138276553,0.3579659318637275,0.3248200436748626,0.27184089218809865
Uniform,13895,0.5588159126539265,0.7960921843687375,0.0,0.0,0.9208416833667334,0.6397795591182365,0.34840440584402543,0.19818110925380533
Uniform,13938,0.7666166181465652,0.9506513026052104,0.0,0.125,0.9884769539078156,0.6728456913827656,0.2989518865117209,0.4363460529986519
Uniform,14049,0.6848076843475877,0.969188376753507,0.125,0.25,0.8870240480961924,0.7039078156312626,-0.021462039849765406,0.2981739715519517
Uniform,14170,0.7424038478054503,0.9541583166332666,0.0,0.0,0.9819639278557114,0.9844689378757514,0.13860745408729053,0.3265280548633173
Uniform,14245,0.8164357083774643,0.9912324649298597,0.0,0.5,0.9777054108216432,0.9529058116232465,-0.0150613146099416,0.5016202146766761
Uniform,14274,0.512478331949001,0.37024048096192386,0.0,0.0,0.7312124248496995,0.55936873747495,-0.06711534623678941,0.1885426135215052
Uniform,14728,0.5720223086022755,0.8141282565130261,0.0,0.0,0.5558617234468938,0.003256513026052104,-0.021978153679213824,0.0854429891233267
Uniform,15068,0.8178779794218262,0.9857214428857715,0.0,0.375,0.9927354709418839,0.9822144288577155,0.061536550925552866,0.4570403377443106
Uniform,15181,0.5808881961327095,0.8617234468937875,0.0,0.0,0.9213426853707415,0.6923847695390781,0.09454743156174489,0.12110562868442445
