checkpoint,split,image_id,donor_id,condition,candidate,path,sha256,noise_sha256,guidance,clip,pixcorr,ssim
106250,train,15879,69036,wrong,0,wrong/15879-0.png,0ec4f0063c4ff5f233636d2347b2d847405eae029552870239e994c50d9b020d,4f7529cc349f0c11166395691ea3a37adcf291e281069f184da9b7340fc99034,4,0.49595218896865845,0.22774956040191321,0.18439432233693112
106250,train,15879,69036,wrong,1,wrong/15879-1.png,39893d51880a79abf401422263edc848d4c42cc3875377d605b541b0c9a20bb5,4f7529cc349f0c11166395691ea3a37adcf291e281069f184da9b7340fc99034,4,0.4917045831680298,-0.024549978959021078,0.1551723231960019
106250,train,69036,3625,correct,0,correct/69036-0.png,e51d60b91f258a6f1e6731cc515df4a899871674791bf580e0cfe90471b30e11,1acec16aba650738ce719ea1e3bbdffbf0ec38d66415cd99991204bc1cc04fb5,4,0.78908771276474,-0.03606936724617292,0.17399312170379735
106250,train,69036,3625,correct,1,correct/69036-1.png,54d78c5b752401875f973f6387c50c79b5216e7d2beed20cfbf4c64de26d98fb,1acec16aba650738ce719ea1e3bbdffbf0ec38d66415cd99991204bc1cc04fb5,4,0.7143682241439819,0.4800436096314574,0.38411327558870273
106250,train,69036,3625,wrong,0,wrong/69036-0.png,26924384ffb4d90710352531b41f32c5c6c5484826112acaca755884bd623027,1acec16aba650738ce719ea1e3bbdffbf0ec38d66415cd99991204bc1cc04fb5,4,0.4739442765712738,-0.17544474863095388,0.16428460894966973
106250,train,69036,3625,wrong,1,wrong/69036-1.png,8648934c458275314996ee7a323c8baa802d3c8a62675331ed600dc6ca1314e1,1acec16aba650738ce719ea1e3bbdffbf0ec38d66415cd99991204bc1cc04fb5,4,0.5785514116287231,-0.10900362240659774,0.22824597012900932
106250,train,3625,23696,correct,0,correct/3625-0.png,6492df121b370ab748f6f13858e9a7165ec097dad41acb1fafd8fdda3e52c91b,d9a5c95b29350d57eb94358eb9a21cd680af72d44f9a1759000eaf57a7e92392,4,0.6625226140022278,-0.1923526547464759,0.12238030611524439
106250,train,3625,23696,correct,1,correct/3625-1.png,9873f0e28e9676af83ab03ed141b0292ab54b7edc2211b5c1b0b0859c787e952,d9a5c95b29350d57eb94358eb9a21cd680af72d44f9a1759000eaf57a7e92392,4,0.6252583861351013,-0.09190975850949633,0.14999420648708395
106250,train,3625,23696,wrong,0,wrong/3625-0.png,f3024a9641d1c96b03b3226f57b214edb66382f5bcf2ca3aa40eb2c8827e11a7,d9a5c95b29350d57eb94358eb9a21cd680af72d44f9a1759000eaf57a7e92392,4,0.5414638519287109,-0.20986475300723156,0.25998835246371216
106250,train,3625,23696,wrong,1,wrong/3625-1.png,537576d4d7dc1ab9db32a3b4639da77fb97b4a871b617bdb26a6fe53ab39fd60,d9a5c95b29350d57eb94358eb9a21cd680af72d44f9a1759000eaf57a7e92392,4,0.5560830235481262,-0.1499192358044037,0.28301455167422174
106250,train,23696,44010,correct,0,correct/23696-0.png,9e43089500c053948c76bcae650d355629d8040ddd909022f8438415616f2c40,2fd882d695c4a24c1f03243124fd54f215d1c687123a46ba99d6ef66f4bf0827,4,0.5285806059837341,-0.04103204007061619,0.5785514657633073
106250,train,23696,44010,correct,1,correct/23696-1.png,55867539c7af8b3ee4d6d498e680f370ebde7795d73be19763e6185baf46a8c6,2fd882d695c4a24c1f03243124fd54f215d1c687123a46ba99d6ef66f4bf0827,4,0.5328300595283508,0.3546575206646196,0.5901090390052203
106250,train,23696,44010,wrong,0,wrong/23696-0.png,a1a7a917340dc77e8c6d4afcccdc2b5fa1f7feb3d7ce2536628020b55c0d73d4,2fd882d695c4a24c1f03243124fd54f215d1c687123a46ba99d6ef66f4bf0827,4,0.5158024430274963,-0.32168909781850363,0.3034130346866178
106250,train,23696,44010,wrong,1,wrong/23696-1.png,7c785b760b54eb5b757e03de745a85b1ba1d1a8c80577eaabed6ef9fa450a1fa,2fd882d695c4a24c1f03243124fd54f215d1c687123a46ba99d6ef66f4bf0827,4,0.5594807267189026,0.3328080061594556,0.42342723207088706
106250,train,44010,21652,correct,0,correct/44010-0.png,82aa3cbdc9c368d69001b1fb553a77e6e3ba0e710615cd1ef3a3964fb04ba3bf,35aa86981174181a98b4ce51d8b65a8bd0f95c2ceec4818494682c0873f3225b,4,0.903227686882019,-0.04381755019065001,0.39713081236600106
106250,train,44010,21652,correct,1,correct/44010-1.png,510431335014d84251a8f29ebcbd3e7149e895a2ab89d35b0869e4e20ce21632,35aa86981174181a98b4ce51d8b65a8bd0f95c2ceec4818494682c0873f3225b,4,0.6851987838745117,0.274172087740229,0.29028442286703254
106250,train,44010,21652,wrong,0,wrong/44010-0.png,31fdbd1327a773a13393a71d0878e26c19ac0f4255432e9fec9337a3fa701ca1,35aa86981174181a98b4ce51d8b65a8bd0f95c2ceec4818494682c0873f3225b,4,0.5988207459449768,0.027546841673810378,0.4254533145067506
106250,train,44010,21652,wrong,1,wrong/44010-1.png,4aa9d92ed309dc3c3aa4b3e9180422e9a14d24622e7b2865e46e29fa2c66c1ae,35aa86981174181a98b4ce51d8b65a8bd0f95c2ceec4818494682c0873f3225b,4,0.7069907188415527,0.0582283576339266,0.45440342176044884
106250,train,21652,6970,correct,0,correct/21652-0.png,d76369c47a17528cb2877311548d6bbf28c52d6cc32804379ab8440f02a9319c,deca6335f8f41d705a173f0a516e337acfc6c53d86d5870f07649aa25f90a597,4,0.7632288932800293,0.1750298100012355,0.3272689522171688
106250,train,21652,6970,correct,1,correct/21652-1.png,aa11060521547403fb9cb0fed2e3b8fd5bfc45afb5fea33c7afe630d58f27adb,deca6335f8f41d705a173f0a516e337acfc6c53d86d5870f07649aa25f90a597,4,0.6146658658981323,0.2348194511344557,0.35679052110463394
106250,train,21652,6970,wrong,0,wrong/21652-0.png,513763e082ee642631911b8ba8a390fe581d4b1d4fcf8d175119eb5fb449de02,deca6335f8f41d705a173f0a516e337acfc6c53d86d5870f07649aa25f90a597,4,0.5983536243438721,0.11349105179349242,0.3256876724830885
106250,train,21652,6970,wrong,1,wrong/21652-1.png,5dacef77168485b14a23427712e81dc4d7b0155b88fceea2290abf2672ed65e1,deca6335f8f41d705a173f0a516e337acfc6c53d86d5870f07649aa25f90a597,4,0.5646740198135376,0.23063523936298383,0.33391070425952407
106250,train,6970,35190,correct,0,correct/6970-0.png,665dcb99c67a528f4d56c7e54aa6148933e47b65797d6c5dce7c6d1f4b7598e1,7b6545b71671e9b1cdbb3e8f1f39d98a09c15c1547791b5eb984bee429ac7e4c,4,0.5996246933937073,-0.33875199495475805,0.5743677838496495
106250,train,6970,35190,correct,1,correct/6970-1.png,59e9d9b047cf5dd89fc749393c79b13777b8002ab313cea48b120c4ee44b2560,7b6545b71671e9b1cdbb3e8f1f39d98a09c15c1547791b5eb984bee429ac7e4c,4,0.678932249546051,-0.18022402607805846,0.5552537816248976
106250,train,6970,35190,wrong,0,wrong/6970-0.png,7d53fd8f2cfa5d938f866d48662f956385f6f765aedbf57c3fb5b353febc2a9a,7b6545b71671e9b1cdbb3e8f1f39d98a09c15c1547791b5eb984bee429ac7e4c,4,0.543189287185669,0.021213764096277964,0.44289016758962085
106250,train,6970,35190,wrong,1,wrong/6970-1.png,222aa7564bdb3045a2c94cc15778101612cd08338aacbe48174bbb473ddb02ac,7b6545b71671e9b1cdbb3e8f1f39d98a09c15c1547791b5eb984bee429ac7e4c,4,0.5770211815834045,0.0035179773063778925,0.28855390808727355
106250,train,35190,50780,correct,0,correct/35190-0.png,34cb23ac9462d6115fa45daadb953dcd245cf71399a2c0d47cbe4662141c56df,af8e89553ecca28153a718e9873c66236d4964e90116ec65807e8436d27a2c9a,4,0.685789167881012,0.03361043967381275,0.16428321813982907
106250,train,35190,50780,correct,1,correct/35190-1.png,126cd75699e639279f9030ea12022bcffa16a0b624483b27745ad501309d47ea,af8e89553ecca28153a718e9873c66236d4964e90116ec65807e8436d27a2c9a,4,0.709435760974884,-0.30296510770514157,0.1275880184964813
106250,train,35190,50780,wrong,0,wrong/35190-0.png,8a69b8609d3b438d84a5a37de89891ea595058cf50c41f3d4d96cfe02a219b31,af8e89553ecca28153a718e9873c66236d4964e90116ec65807e8436d27a2c9a,4,0.39755168557167053,0.07258629572541714,0.15872684016608302
106250,train,35190,50780,wrong,1,wrong/35190-1.png,f92c2fc79cc063a73ab9c3620d73b017939ea9920873d62242c705acf5bef14d,af8e89553ecca28153a718e9873c66236d4964e90116ec65807e8436d27a2c9a,4,0.3590293228626251,-0.1542966757573215,0.14534825659286973
106250,train,50780,45620,correct,0,correct/50780-0.png,3216684df7509aa2ca9fb60a7e02dd38289d4ec8a6835b857fe9e19b174499a8,3800def8e5bed900fc332f8ffc34dbd027ba1e4cb2ec365891217aeeffe7820e,4,0.6532204151153564,0.2592721835108716,0.42235139238951025
106250,train,50780,45620,correct,1,correct/50780-1.png,cf5a29e7f5a8da8abca328ad10e13b236e13ec81511dec0faa06d911d0e0a961,3800def8e5bed900fc332f8ffc34dbd027ba1e4cb2ec365891217aeeffe7820e,4,0.7115912437438965,0.2953918395296845,0.4457277746343843
106250,train,50780,45620,wrong,0,wrong/50780-0.png,229182adf096affe8042337bf6f91be3d4854e69093749c0bdb3d645ce8124c0,3800def8e5bed900fc332f8ffc34dbd027ba1e4cb2ec365891217aeeffe7820e,4,0.4222935438156128,-0.11362662429794392,0.29988229761635277
106250,train,50780,45620,wrong,1,wrong/50780-1.png,a235b8a6e6aa39c8df6275ed3c4f65a76f74de7e19d98e76746ac0cc219d3f7a,3800def8e5bed900fc332f8ffc34dbd027ba1e4cb2ec365891217aeeffe7820e,4,0.46026331186294556,-0.10965418469028025,0.35433417268862194
106250,train,45620,27323,correct,0,correct/45620-0.png,ee0f086adbcd9bea8884da491808ac5c44c7d5c3e8dd121c3e2420d8276f92a7,cfb5d1c1124c830ac684d4a9eb24f448e9e3feb4d28302f59cd353c4d54b08f5,4,0.8828370571136475,0.2296938502535514,0.3166503703434872
106250,train,45620,27323,correct,1,correct/45620-1.png,0ac8e0a500d1282d9ec58ed045d045d6b7b9471c80b1d137a2b5fbbaec2987d7,cfb5d1c1124c830ac684d4a9eb24f448e9e3feb4d28302f59cd353c4d54b08f5,4,0.8423553705215454,-0.034855139528368065,0.28307160153797256
