checkpoint,split,image_id,donor_id,correct_clip,correct_pixcorr,correct_ssim,wrong_clip,wrong_pixcorr,wrong_ssim,advantage_clip,gt_donor_clip,rms,extreme_fraction_train_5sd,raw_repeat_corr,centered_repeat_corr,different_image_raw_corr,centered_repeat_specificity,lh_repeat_specificity,rh_repeat_specificity,session_1,session_2,session_3,quality_stratum
159375,train,40682,38942,0.7784488797187805,0.5999345559222491,0.4450178989151924,0.450112909078598,0.010068851416752853,0.41698184367767577,0.3283359706401825,0.461399644613266,2.449197976624797,0.0,0.7108788599062311,0.22919710489621345,0.594405393010645,0.2458494637944899,0.31639356134558577,0.18845997742795828,12,13,38,1
159375,train,38942,4905,0.6975971460342407,0.10812880597088934,0.3786414087118707,0.5585033297538757,0.06441133693680716,0.32637131292143007,0.139093816280365,0.5387775301933289,2.0148990104815434,0.0,0.6592876725258824,0.270218336666286,0.5538461131328944,0.09922827416069446,0.06449053485980343,0.11457435210001814,19,19,34,0
159375,train,4905,17344,0.679763913154602,0.01870305255613926,0.2496870301143948,0.4588572829961777,0.03537554764557157,0.36561465084203104,0.22090663015842438,0.4569139778614044,2.1978279791330295,1.8936883367735337e-05,0.6632179800026249,0.15791557384298346,0.5667948454479237,0.20254190318610968,0.15672116316390114,0.2330571102235032,4,17,27,1
159375,train,17344,32725,0.6138971149921417,0.08095188866192132,0.19026108196698527,0.5026115775108337,0.004525990460409596,0.10793050226351741,0.11128553748130798,0.5340123772621155,2.0833607408662407,0.0,0.6669194624489126,0.35487307810460944,0.5740451648710789,0.30592694586331975,0.2654914225121007,0.3490495897751919,39,40,40,2
159375,train,32725,28449,0.8214458227157593,0.38510412646619013,0.1596023123672754,0.5934845209121704,0.05210883848687974,0.19026342118763925,0.22796130180358887,0.5462282299995422,1.5510208526212081,0.0,0.43839366816257685,0.09834185774668404,0.4905294263697741,0.13091770995032453,0.18229419023427273,0.08516491664699644,25,31,37,0
159375,train,28449,4723,0.5779784619808197,-0.28668158500443364,0.45163496367782696,0.49858301877975464,-0.10990862341629097,0.3295325034573049,0.07939544320106506,0.583830714225769,1.7894866696467866,0.0,0.6017180934062717,0.3801653201309745,0.3531410451629468,0.49058112886343674,0.4572434719499956,0.45369540395280233,30,31,31,2
159375,train,4723,70126,0.5638413429260254,0.038854613640449766,0.30282297512928497,0.5130893588066101,0.01199779052214488,0.36584977788366596,0.05075198411941528,0.6227443218231201,1.971276550655897,0.0,0.6165934922915546,0.21065720376227928,0.5382111232892988,0.2632972781243073,0.2322210312642258,0.29043205865867744,36,36,37,2
159375,train,70126,26393,0.6309094727039337,-0.053194205710816865,0.28760815122750727,0.475827619433403,-0.11633614990631838,0.30979605909868346,0.1550818532705307,0.487892210483551,1.9146693826703924,0.0,0.5871449242762595,0.08851482863027614,0.5059936693379324,0.12997413904747968,0.06370275714020494,0.17152837782297306,14,25,26,0
159375,train,26393,33748,0.7323204576969147,-0.009176526216687724,0.5516975482846878,0.5488744080066681,0.2716144444365113,0.38126082663555777,0.18344604969024658,0.6142333745956421,1.674310208441951,0.0,0.5901675930643006,0.21078455742182742,0.37604817316032796,0.2800255933882442,0.29985446750779793,0.26138782612528505,27,27,29,2
159375,train,33748,57293,0.9031434953212738,0.54377637738184,0.3039860873058653,0.5315552055835724,0.11485033839119069,0.19829862098919349,0.3715882897377014,0.6163961887359619,1.710933778773062,0.0,0.6251758703467405,0.24788676652026975,0.5221511902913428,0.23243920993970524,0.2733834694197788,0.2073386254151388,1,40,40,1
159375,train,57293,20217,0.7488582134246826,0.06371980143011259,0.21610577295988753,0.5645051598548889,-0.21055576199554255,0.2106193209902095,0.1843530535697937,0.5839805006980896,1.6828150637993522,5.6810650103206016e-05,0.6409151334836803,0.30514185632395807,0.4904810932563149,0.3434633415771687,0.29813982539945516,0.36983120925773133,16,16,16,2
159375,train,20217,15879,0.6948647499084473,0.07143575005866287,0.2771235601713285,0.6098737120628357,0.06305534293956962,0.3015472225118515,0.08499103784561157,0.5035192370414734,2.7134850881957364,0.0,0.722250178135373,0.2755594725015413,0.46089548396996266,0.38366345938367014,0.36449178241683816,0.388006994792818,7,8,8,2
159375,train,15879,69036,0.6882832646369934,0.11352607003715978,0.19850906052152956,0.49943365156650543,0.19804442745827583,0.1631392030454242,0.18884961307048798,0.5075869560241699,2.317887141923781,0.0,0.6469722063800122,0.269381220263928,0.6254366354622143,0.16446351483833122,0.09939110706096604,0.2224916220540828,3,3,23,1
159375,train,69036,3625,0.9299004971981049,0.5088744788271753,0.3390748750680412,0.5084178894758224,-0.08800129270281834,0.19469997502844025,0.4214826077222824,0.573012113571167,1.9685444138430916,0.0,0.5730719041517159,0.08094533780999383,0.45572395875331645,0.15866786456845916,0.1840005616859528,0.1365411386435117,17,17,18,1
159375,train,3625,23696,0.7542043626308441,-0.09358195212786599,0.1716509499883404,0.5368470847606659,-0.15331396975600584,0.2717486853879738,0.21735727787017822,0.5439269542694092,2.1439021481543645,0.0,0.6688330853001632,0.31314903495028956,0.49843971437238493,0.4550226775229009,0.2970130976091964,0.5626294831435203,16,16,21,2
159375,train,23696,44010,0.565497636795044,-0.08975683981512234,0.5614767266536252,0.5332323014736176,-0.04781045713219803,0.46327566271621523,0.03226533532142639,0.5588462948799133,1.8811286765305826,0.0,0.6071503355854379,0.2547117878975476,0.5337380893639225,0.23670049232663257,0.29617869692385185,0.18056347474872803,8,32,33,1
159375,train,44010,21652,0.8156557083129883,0.1093850335450609,0.37798017064194683,0.6423686742782593,0.10256452075225406,0.3176868346379481,0.173287034034729,0.6651404500007629,1.8497597271481852,0.0,0.6001660143257437,0.054698204808444284,0.6006041952730169,0.016981547231416243,0.06532572980376307,-0.022046287725725162,14,16,39,0
159375,train,21652,6970,0.7535888850688934,0.1897272013012761,0.28366996654753884,0.5942753851413727,0.11594335377684595,0.3103249294673485,0.15931349992752075,0.5703012943267822,2.329548710984663,0.0,0.6918757183219256,0.26478354416349686,0.5322900155526633,0.2889741330395319,0.22659722161211437,0.34217786255693144,2,14,14,2
159375,train,6970,35190,0.6538185179233551,-0.2970046157810079,0.5804661344804845,0.491726815700531,-0.14826578409414912,0.5111905810525673,0.1620917022228241,0.5298203229904175,1.7864999609005092,0.0,0.5182122703123543,0.07424171776656882,0.390420954402368,0.10515233526938945,0.015566940208378538,0.14285307649337145,31,32,35,0
159375,train,35190,50780,0.6734086871147156,-0.004861213313526649,0.18371718970293216,0.4443754106760025,0.09116091033280234,0.1963433505573512,0.22903327643871307,0.4548885226249695,2.267639231706745,0.0,0.6753447600836268,0.10787043899590672,0.5578688843523899,0.047130705868048656,0.0763767601067885,0.027844612570144815,5,8,22,0
159375,train,50780,45620,0.7257724404335022,0.29267775167280446,0.447521797568743,0.5066015869379044,-0.030439611476848413,0.3232787415480971,0.21917085349559784,0.48815345764160156,2.041743032791953,0.0,0.681139647661519,0.22384268211378097,0.5169902233890885,0.3174433122774028,0.3064008540133027,0.3157022074489897,13,18,38,2
159375,train,45620,27323,0.870244711637497,0.20743739640787046,0.32128135246661793,0.5684898197650909,-0.03191813555300673,0.3017834370996948,0.301754891872406,0.4355388879776001,2.3254134899146166,0.0,0.6522280535801535,0.28464700319020847,0.5725294839090934,0.2176171225749095,0.19549960911091968,0.232943746589962,21,21,22,1
159375,train,27323,51581,0.6111514270305634,0.19299542684922105,0.3436033110311991,0.5821394920349121,-0.020092929062411224,0.3776131422362675,0.029011934995651245,0.563561201095581,1.694257536999478,0.0,0.511586081985662,0.23923011016747756,0.43078234944419047,0.282187864890088,0.28705957617604216,0.2887919914337163,35,35,35,2
159375,train,51581,7163,0.6250606775283813,-0.03426169490983209,0.37122655009447636,0.5000810921192169,-0.09969472228223064,0.26064643909494895,0.12497958540916443,0.5020532608032227,2.098275133431488,0.0,0.5872017876969823,0.19585589118243577,0.48392780935889085,0.14471317051492474,0.2120331549168514,0.09523318655572081,6,38,39,0
159375,train,7163,50828,0.6958983838558197,-0.006766671777481919,0.32186671400979355,0.4419806897640228,-0.06648886714279535,0.3307308151929237,0.2539176940917969,0.46337994933128357,1.9578478894555058,0.0,0.5319032905753857,0.157572405995228,0.42235745261128493,0.122735480327133,0.07286591906792982,0.16935210197972358,8,18,38,0
159375,train,50828,53785,0.7662473022937775,-0.026674882055910683,0.47376256637825653,0.5389834046363831,0.0073897478785960626,0.3123274055592049,0.2272638976573944,0.5122295618057251,1.6133665987084702,3.7873766735470675e-05,0.601678656855502,0.3956438463821444,0.46385401066884785,0.242924251066861,0.2982687801623994,0.15891251551729169,8,25,31,1
159375,train,53785,1851,0.6059534847736359,0.09143079624823888,0.2917242086188663,0.5037825852632523,-0.25513051610447995,0.2497661673957633,0.1021708995103836,0.513744056224823,1.6989185997135883,0.0,0.44751778644478146,-0.012516018617573649,0.44689012019202035,0.002249241986894556,-0.011276491452251727,0.012018052309410887,6,9,22,0
159375,train,1851,29558,0.7412087917327881,0.05121547899636186,0.27188605643101604,0.5885774791240692,0.004314939623466671,0.21748820961553905,0.15263131260871887,0.5582448840141296,1.8732572675102592,0.0,0.6806275607143691,0.2964751976615096,0.5584709323150736,0.3073067583187528,0.263649442454442,0.34085859556542714,2,33,38,2
159375,train,29558,59471,0.6400905847549438,0.102897848388525,0.16035153313858388,0.5751587152481079,0.05419580107645081,0.19304336845099485,0.06493186950683594,0.4687461853027344,2.089639610141475,0.0,0.6024720900162003,0.11669954766073942,0.5203500512935774,0.13766681239486903,0.15348306145276416,0.1318780115317116,10,38,40,0
159375,train,59471,59462,0.5844230055809021,0.11404346884144205,0.28251729523715685,0.4397912472486496,-0.01967910049586445,0.2801618885646648,0.1446317583322525,0.4467180669307709,2.378768358918568,0.0,0.7273945960304952,0.3175651103795391,0.5803095815350566,0.2736731823388801,0.21375599367486273,0.320611693100983,25,25,25,2
159375,train,59462,16584,0.7937116026878357,-0.02125566846085243,0.24713469336469537,0.5805595517158508,-0.036855078580697295,0.15016633882476582,0.21315205097198486,0.5443434119224548,2.0501807737414404,1.8936883367735337e-05,0.6801784032190922,0.16223435218252572,0.5097915673939447,0.1713122365730653,0.14950775403596733,0.16417221756559586,4,4,13,1
239063,train,16584,40682,0.588492751121521,0.022295789996640787,0.08768567485343953,0.5322631597518921,0.15875089079823054,0.0848966208619634,0.056229591369628906,0.44129741191864014,1.8966447281575172,0.0,0.5782062046384913,0.07027111871716797,0.5302420804876399,0.05655306237484784,0.09329974075354991,0.017199825760683202,21,22,22,0
239063,train,40682,38942,0.8124281466007233,0.6455030206686752,0.4493877001633959,0.46876509487628937,0.05467733148175198,0.4232200433156932,0.3436630517244339,0.461399644613266,2.449197976624797,0.0,0.7108788599062311,0.22919710489621345,0.594405393010645,0.2458494637944899,0.31639356134558577,0.18845997742795828,12,13,38,1
239063,train,38942,4905,0.593666672706604,0.16750378663779225,0.3951892256290407,0.5968516170978546,0.1501320804374295,0.35943785664290695,-0.0031849443912506104,0.5387775301933289,2.0148990104815434,0.0,0.6592876725258824,0.270218336666286,0.5538461131328944,0.09922827416069446,0.06449053485980343,0.11457435210001814,19,19,34,0
239063,train,4905,17344,0.5871824026107788,0.06991543903111683,0.2572922119724351,0.48114293813705444,-0.14545871342117528,0.3618637758403762,0.10603946447372437,0.4569139778614044,2.1978279791330295,1.8936883367735337e-05,0.6632179800026249,0.15791557384298346,0.5667948454479237,0.20254190318610968,0.15672116316390114,0.2330571102235032,4,17,27,1
