label,split,image_id,donor_id,condition,candidate,path,sha256,noise_sha256,guidance,clip,pixcorr,ssim,model_sha256
B0,train,20217,15879,wrong,0,wrong/20217-0.png,c2bdc48b0fd0397c550691f7c5ea0fcfca6140363c92c535cf40367474499327,9bb0eb851e424337b776988233bca0f9b0b9703bdb62158841eefc42f9e34149,4,0.571107029914856,0.2203883400822611,0.2817961377561004,
B0,train,20217,15879,wrong,1,wrong/20217-1.png,fff04326b0072ead90087bd125dc3566b1a81ec58e50b620197f6d0d5a7c6fae,9bb0eb851e424337b776988233bca0f9b0b9703bdb62158841eefc42f9e34149,4,0.6486403942108154,-0.09427765420312187,0.3212983072676026,
B0,train,15879,69036,correct,0,correct/15879-0.png,eeaab8a826d3caa9d51c6ee049d47e43d8d525c78e57afd8cb6cb78d441a6c4e,4f7529cc349f0c11166395691ea3a37adcf291e281069f184da9b7340fc99034,4,0.7581928968429565,0.143032008664927,0.2014223135636288,
B0,train,15879,69036,correct,1,correct/15879-1.png,da1a2bad09bae9cd0cc9892f4cdd4a3248c5d242884e27ed1f35ed2a47aa120e,4f7529cc349f0c11166395691ea3a37adcf291e281069f184da9b7340fc99034,4,0.6183736324310303,0.08402013140939256,0.1955958074794303,
B0,train,15879,69036,wrong,0,wrong/15879-0.png,b00b8fea40cbaa549dde106b5de12abe1c33b664865026899db80fb6b9a95dd5,4f7529cc349f0c11166395691ea3a37adcf291e281069f184da9b7340fc99034,4,0.49565181136131287,0.23839389495160426,0.1864617870806542,
B0,train,15879,69036,wrong,1,wrong/15879-1.png,db70e04e9ad915dcae63f8c43707034973c5c504abeb50a7a5398c13b4c36f2e,4f7529cc349f0c11166395691ea3a37adcf291e281069f184da9b7340fc99034,4,0.503215491771698,0.15769495996494742,0.1398166190101942,
B0,train,69036,3625,correct,0,correct/69036-0.png,a5f85146be5df79da780df1af8f4377b8e62d4cc22d9d3077ad639d120de82ca,1acec16aba650738ce719ea1e3bbdffbf0ec38d66415cd99991204bc1cc04fb5,4,0.9376550912857056,0.46202809822082885,0.31987219243110665,
B0,train,69036,3625,correct,1,correct/69036-1.png,5478be048fb5cf3c75f7f8ad534477a95c8d198cf80b1d0946d9c5e1322c2e21,1acec16aba650738ce719ea1e3bbdffbf0ec38d66415cd99991204bc1cc04fb5,4,0.9221459031105042,0.5557208594335218,0.3582775577049757,
B0,train,69036,3625,wrong,0,wrong/69036-0.png,0e3e675227471f2843c4ca9abdf0260807702b25fd21a8369c6daa45956be4be,1acec16aba650738ce719ea1e3bbdffbf0ec38d66415cd99991204bc1cc04fb5,4,0.5383715033531189,-0.1353257779674084,0.19038902613428788,
B0,train,69036,3625,wrong,1,wrong/69036-1.png,b992a9a0953ab6d787b45ac1b86c352a98bf939189f023ce3a06731794bdca22,1acec16aba650738ce719ea1e3bbdffbf0ec38d66415cd99991204bc1cc04fb5,4,0.478464275598526,-0.04067680743822828,0.19901092392259262,
B0,train,3625,23696,correct,0,correct/3625-0.png,a443e37084075051695a3d3a92a9e80d1e7d5ba556885b5223f37ef738d6af92,d9a5c95b29350d57eb94358eb9a21cd680af72d44f9a1759000eaf57a7e92392,4,0.7484337091445923,-0.08575727877374661,0.1883123534138552,
B0,train,3625,23696,correct,1,correct/3625-1.png,41dac9939d828b21c0dd5da90ede4a308d183f8585db5947267ea3d57c4bfd6c,d9a5c95b29350d57eb94358eb9a21cd680af72d44f9a1759000eaf57a7e92392,4,0.759975016117096,-0.10140662548198535,0.15498954656282563,
B0,train,3625,23696,wrong,0,wrong/3625-0.png,761b36e563e01bdf8e7533117714074e81547e0d7fa96b9527b22170cefb57d6,d9a5c95b29350d57eb94358eb9a21cd680af72d44f9a1759000eaf57a7e92392,4,0.4899371266365051,-0.20942959747905968,0.27302550496064937,
B0,train,3625,23696,wrong,1,wrong/3625-1.png,0ff7d2ef2cd891d40635a239a3c943064b770e4d46a6d16534da25e335880a72,d9a5c95b29350d57eb94358eb9a21cd680af72d44f9a1759000eaf57a7e92392,4,0.5837570428848267,-0.09719834203295198,0.2704718658152982,
B0,train,23696,44010,correct,0,correct/23696-0.png,0a28a7ba7c4ecd5ee9137e155daa2541441a983a464f163e63c1c6100824f54c,2fd882d695c4a24c1f03243124fd54f215d1c687123a46ba99d6ef66f4bf0827,4,0.5506626963615417,-0.4508153919932204,0.5392895178379088,
B0,train,23696,44010,correct,1,correct/23696-1.png,adb6ea5d0d3d1f9250fa6d78cb74c6334b55db638018293b3d480af6bbd7b57b,2fd882d695c4a24c1f03243124fd54f215d1c687123a46ba99d6ef66f4bf0827,4,0.5803325772285461,0.27130171236297573,0.5836639354693417,
B0,train,23696,44010,wrong,0,wrong/23696-0.png,1441fddc1fd2f9ad7b14e272312b48085ad64b26d2afd9bc228716bda1568ffc,2fd882d695c4a24c1f03243124fd54f215d1c687123a46ba99d6ef66f4bf0827,4,0.5399353504180908,-0.504242180619231,0.38338720266490245,
