label,split,image_id,donor_id,correct_clip,correct_pixcorr,correct_ssim,wrong_clip,wrong_pixcorr,wrong_ssim,advantage_clip
H5000,train,29558,59471,0.7155724465847015,0.1257053687232943,0.17542408600880985,0.5337660014629364,0.041339014179180164,0.18056775021975124,0.18180644512176514
H5000,train,59471,59462,0.5727954506874084,0.015426416869187498,0.26748711926661894,0.46893155574798584,-0.04131558143264071,0.27835232526225445,0.10386389493942261
H5000,train,59462,16584,0.7561464607715607,-0.008600267698483863,0.24426723028185574,0.5507518947124481,-0.04140499437322436,0.13153384410202426,0.20539456605911255
L5000,train,16584,40682,0.5847949683666229,0.0003223588580970535,0.08130683667766679,0.5280382037162781,0.15377344043513158,0.09501717164594588,0.05675676465034485
L5000,train,40682,38942,0.7708437144756317,0.5870509036233948,0.4513832311070028,0.4607306122779846,0.0932115286905052,0.4323405871352074,0.3101131021976471
L5000,train,38942,4905,0.7081578075885773,0.1290385978707856,0.38884266494723585,0.614468514919281,0.0957132219086033,0.31203212683503456,0.09368929266929626
L5000,train,4905,17344,0.6673285365104675,0.07522121398394824,0.26949926822104325,0.4536008834838867,0.03724348144162329,0.3639542447016027,0.2137276530265808
L5000,train,17344,32725,0.6034053266048431,0.05233054179326912,0.18820455770811895,0.5353877246379852,-0.006878055670217428,0.1080660987097273,0.06801760196685791
L5000,train,32725,28449,0.8606509566307068,0.41526910650009596,0.16505610209184055,0.5953634083271027,-0.0792818232187846,0.16826335822788735,0.2652875483036041
L5000,train,28449,4723,0.5692679286003113,-0.3003569594819683,0.45080893809140243,0.5090130716562271,-0.0680801727095958,0.33310263332121326,0.06025485694408417
L5000,train,4723,70126,0.5557125806808472,0.00991451932273794,0.29582792504801336,0.521750271320343,-0.012101727951698268,0.3450028799108107,0.03396230936050415
L5000,train,70126,26393,0.61985844373703,-0.04840911769987322,0.30385139124238614,0.5032025277614594,-0.15223960154991745,0.2970859273587077,0.11665591597557068
L5000,train,26393,33748,0.7473773956298828,-0.025648151082175216,0.5387691266503183,0.5400210320949554,0.27360888729982447,0.3949846918304666,0.20735636353492737
L5000,train,33748,57293,0.912156730890274,0.5516693420833578,0.3036759435074188,0.5061722099781036,0.09586711425241451,0.18481916260286485,0.4059845209121704
L5000,train,57293,20217,0.6640091836452484,0.01206632896150038,0.19925310797721466,0.5904347598552704,-0.20422827678393926,0.21226034905806662,0.07357442378997803
L5000,train,20217,15879,0.6660936772823334,0.026700930246221253,0.2710972382929888,0.5768405199050903,0.11587055047911296,0.3006026002787239,0.08925315737724304
L5000,train,15879,69036,0.6892141401767731,0.12480435272358545,0.21519481823926934,0.50295490026474,0.21695133187189908,0.16292720590757087,0.18625923991203308
L5000,train,69036,3625,0.9311678111553192,0.4944065798464491,0.325242969159229,0.5894983410835266,-0.0884259607646424,0.18092250596393672,0.3416694700717926
L5000,train,3625,23696,0.7474297881126404,-0.13324965014630438,0.15449681450603986,0.511572390794754,-0.16219263172457818,0.25665729675131266,0.23585739731788635
L5000,train,23696,44010,0.6425025165081024,-0.18787636032024374,0.5456186989629283,0.547426164150238,-0.06844046665611728,0.39090042001733083,0.09507635235786438
L5000,train,44010,21652,0.8200947344303131,0.1023485210088764,0.3812613498626271,0.6512968242168427,0.05751110430480459,0.3247885974710958,0.16879791021347046
L5000,train,21652,6970,0.6338217556476593,0.2096401375744651,0.2875498521232085,0.5945563912391663,0.10843222739117415,0.3264816534267709,0.03926536440849304
L5000,train,6970,35190,0.6698256433010101,-0.25328053706497367,0.5712312306077129,0.4769049435853958,-0.09059808096698109,0.4812265737084209,0.19292069971561432
L5000,train,35190,50780,0.6683593094348907,-0.04360579477609086,0.17487662561607997,0.41464048624038696,0.08761583053659705,0.18875164969028013,0.2537188231945038
