/data1/matengyu/geyugong/neuroadapter-subject1-research/envs/neuroadapter/lib/python3.11/site-packages/torch/distributed/c10d_logger.py:83: UserWarning: barrier(): using the device under current context. You can specify `device_id` in `init_process_group` to mute this warning.
  return func(*args, **kwargs)
H local_update=3050 loss=0.124427 elapsed=1893.3s
H local_update=3060 loss=0.096472 elapsed=1899.5s
H local_update=3070 loss=0.068104 elapsed=1905.6s
H local_update=3080 loss=0.150575 elapsed=1911.7s
H local_update=3090 loss=0.103061 elapsed=1918.0s
H local_update=3100 loss=0.077603 elapsed=1924.1s
H local_update=3110 loss=0.086362 elapsed=1930.3s
H local_update=3120 loss=0.104958 elapsed=1936.4s
H local_update=3130 loss=0.098220 elapsed=1942.5s
H local_update=3140 loss=0.135826 elapsed=1948.6s
H local_update=3150 loss=0.078125 elapsed=1954.9s
H local_update=3160 loss=0.135909 elapsed=1960.9s
H local_update=3170 loss=0.127651 elapsed=1967.0s
H local_update=3180 loss=0.119016 elapsed=1973.2s
H local_update=3190 loss=0.141868 elapsed=1979.3s
H local_update=3200 loss=0.134204 elapsed=1985.4s
H local_update=3210 loss=0.139004 elapsed=1991.5s
H local_update=3220 loss=0.142830 elapsed=1997.6s
H local_update=3230 loss=0.136866 elapsed=2003.7s
H local_update=3240 loss=0.122502 elapsed=2009.8s
H local_update=3250 loss=0.111327 elapsed=2015.9s
H local_update=3260 loss=0.074176 elapsed=2022.0s
H local_update=3270 loss=0.096151 elapsed=2028.1s
H local_update=3280 loss=0.105765 elapsed=2034.3s
H local_update=3290 loss=0.117619 elapsed=2040.4s
H local_update=3300 loss=0.142983 elapsed=2046.6s
H local_update=3310 loss=0.107298 elapsed=2052.7s
H local_update=3320 loss=0.107308 elapsed=2058.8s
H local_update=3330 loss=0.118160 elapsed=2064.9s
H local_update=3340 loss=0.157012 elapsed=2071.0s
H local_update=3350 loss=0.098602 elapsed=2077.1s
H local_update=3360 loss=0.136321 elapsed=2083.2s
H local_update=3370 loss=0.075734 elapsed=2089.3s
H local_update=3380 loss=0.142520 elapsed=2095.4s
H local_update=3390 loss=0.101224 elapsed=2101.5s
H local_update=3400 loss=0.115109 elapsed=2107.7s
H local_update=3410 loss=0.114882 elapsed=2113.8s
H local_update=3420 loss=0.088678 elapsed=2119.8s
H local_update=3430 loss=0.128118 elapsed=2126.0s
H local_update=3440 loss=0.101891 elapsed=2132.1s
H local_update=3450 loss=0.110854 elapsed=2138.2s
H local_update=3460 loss=0.086841 elapsed=2144.3s
H local_update=3470 loss=0.126302 elapsed=2150.4s
H local_update=3480 loss=0.103999 elapsed=2156.5s
H local_update=3490 loss=0.089863 elapsed=2162.7s
H local_update=3500 loss=0.105490 elapsed=2168.8s
H local_update=3510 loss=0.120272 elapsed=2174.9s
H local_update=3520 loss=0.094816 elapsed=2181.0s
H local_update=3530 loss=0.108346 elapsed=2187.1s
H local_update=3540 loss=0.121546 elapsed=2193.2s
H local_update=3550 loss=0.141380 elapsed=2199.3s
H local_update=3560 loss=0.112351 elapsed=2205.4s
H local_update=3570 loss=0.132067 elapsed=2211.4s
H local_update=3580 loss=0.101126 elapsed=2217.5s
H local_update=3590 loss=0.119508 elapsed=2223.7s
H local_update=3600 loss=0.120890 elapsed=2229.8s
H local_update=3610 loss=0.087100 elapsed=2235.9s
H local_update=3620 loss=0.087308 elapsed=2242.0s
H local_update=3630 loss=0.089139 elapsed=2248.0s
H local_update=3640 loss=0.099264 elapsed=2254.1s
H local_update=3650 loss=0.112672 elapsed=2260.2s
H local_update=3660 loss=0.086712 elapsed=2266.3s
H local_update=3670 loss=0.109109 elapsed=2272.4s
H local_update=3680 loss=0.091305 elapsed=2278.6s
H local_update=3690 loss=0.114442 elapsed=2284.6s
H local_update=3700 loss=0.113040 elapsed=2290.8s
H local_update=3710 loss=0.132801 elapsed=2296.9s
H local_update=3720 loss=0.132892 elapsed=2303.0s
H local_update=3730 loss=0.154168 elapsed=2309.0s
H local_update=3740 loss=0.085672 elapsed=2315.2s
H local_update=3750 loss=0.160754 elapsed=2321.2s
H local_update=3760 loss=0.117079 elapsed=2327.3s
H local_update=3770 loss=0.134393 elapsed=2333.5s
H local_update=3780 loss=0.107206 elapsed=2339.5s
H local_update=3790 loss=0.083390 elapsed=2345.9s
H local_update=3800 loss=0.135082 elapsed=2352.2s
H local_update=3810 loss=0.108343 elapsed=2358.2s
H local_update=3820 loss=0.138674 elapsed=2364.4s
H local_update=3830 loss=0.107950 elapsed=2370.5s
H local_update=3840 loss=0.141402 elapsed=2376.6s
H local_update=3850 loss=0.109267 elapsed=2382.7s
H local_update=3860 loss=0.096386 elapsed=2388.7s
H local_update=3870 loss=0.120046 elapsed=2394.8s
H local_update=3880 loss=0.131466 elapsed=2400.9s
H local_update=3890 loss=0.118995 elapsed=2407.0s
H local_update=3900 loss=0.108083 elapsed=2413.2s
H local_update=3910 loss=0.072167 elapsed=2419.3s
H local_update=3920 loss=0.088448 elapsed=2425.7s
H local_update=3930 loss=0.149409 elapsed=2431.8s
H local_update=3940 loss=0.093363 elapsed=2437.8s
H local_update=3950 loss=0.124309 elapsed=2444.0s
H local_update=3960 loss=0.123098 elapsed=2450.1s
H local_update=3970 loss=0.084777 elapsed=2456.2s
H local_update=3980 loss=0.128877 elapsed=2462.3s
H local_update=3990 loss=0.140789 elapsed=2468.4s
H local_update=4000 loss=0.124189 elapsed=2474.4s
H local_update=4010 loss=0.069132 elapsed=2480.5s
H local_update=4020 loss=0.179084 elapsed=2486.6s
H local_update=4030 loss=0.111972 elapsed=2492.7s
H local_update=4040 loss=0.105083 elapsed=2498.9s
H local_update=4050 loss=0.156571 elapsed=2505.0s
H local_update=4060 loss=0.100094 elapsed=2511.1s
H local_update=4070 loss=0.103553 elapsed=2517.2s
H local_update=4080 loss=0.099343 elapsed=2523.3s
H local_update=4090 loss=0.132453 elapsed=2529.4s
H local_update=4100 loss=0.108211 elapsed=2535.5s
H local_update=4110 loss=0.095881 elapsed=2541.6s
H local_update=4120 loss=0.115551 elapsed=2547.7s
H local_update=4130 loss=0.132763 elapsed=2553.8s
H local_update=4140 loss=0.134576 elapsed=2559.9s
H local_update=4150 loss=0.091019 elapsed=2566.0s
H local_update=4160 loss=0.082434 elapsed=2572.1s
H local_update=4170 loss=0.130606 elapsed=2578.1s
H local_update=4180 loss=0.084434 elapsed=2584.2s
H local_update=4190 loss=0.103824 elapsed=2590.2s
H local_update=4200 loss=0.154943 elapsed=2596.3s
H local_update=4210 loss=0.139476 elapsed=2602.4s
H local_update=4220 loss=0.052082 elapsed=2608.5s
H local_update=4230 loss=0.124455 elapsed=2614.6s
H local_update=4240 loss=0.097322 elapsed=2620.6s
