/data1/matengyu/geyugong/neuroadapter-subject1-research/envs/neuroadapter/lib/python3.11/site-packages/torch/distributed/c10d_logger.py:83: UserWarning: barrier(): using the device under current context. You can specify `device_id` in `init_process_group` to mute this warning.
  return func(*args, **kwargs)
L local_update=3440 loss=0.101825 elapsed=2113.8s
L local_update=3450 loss=0.110930 elapsed=2120.0s
L local_update=3460 loss=0.086942 elapsed=2126.0s
L local_update=3470 loss=0.126114 elapsed=2132.2s
L local_update=3480 loss=0.103999 elapsed=2138.3s
L local_update=3490 loss=0.089857 elapsed=2144.4s
L local_update=3500 loss=0.105495 elapsed=2150.4s
L local_update=3510 loss=0.120205 elapsed=2156.5s
L local_update=3520 loss=0.094749 elapsed=2162.6s
L local_update=3530 loss=0.108264 elapsed=2168.7s
L local_update=3540 loss=0.121315 elapsed=2174.8s
L local_update=3550 loss=0.141268 elapsed=2180.9s
L local_update=3560 loss=0.112118 elapsed=2187.1s
L local_update=3570 loss=0.132122 elapsed=2193.2s
L local_update=3580 loss=0.100999 elapsed=2199.4s
L local_update=3590 loss=0.119392 elapsed=2205.5s
L local_update=3600 loss=0.120910 elapsed=2211.6s
L local_update=3610 loss=0.087103 elapsed=2217.8s
L local_update=3620 loss=0.087268 elapsed=2223.8s
L local_update=3630 loss=0.089111 elapsed=2229.9s
L local_update=3640 loss=0.099110 elapsed=2236.0s
L local_update=3650 loss=0.112552 elapsed=2242.1s
L local_update=3660 loss=0.086763 elapsed=2248.3s
L local_update=3670 loss=0.109045 elapsed=2254.5s
L local_update=3680 loss=0.091255 elapsed=2260.6s
L local_update=3690 loss=0.114481 elapsed=2266.7s
L local_update=3700 loss=0.112965 elapsed=2272.9s
L local_update=3710 loss=0.132686 elapsed=2279.0s
L local_update=3720 loss=0.132839 elapsed=2285.1s
L local_update=3730 loss=0.154133 elapsed=2291.3s
L local_update=3740 loss=0.085679 elapsed=2297.3s
L local_update=3750 loss=0.160765 elapsed=2303.5s
L local_update=3760 loss=0.117104 elapsed=2309.6s
L local_update=3770 loss=0.134262 elapsed=2315.8s
L local_update=3780 loss=0.107125 elapsed=2321.8s
L local_update=3790 loss=0.083342 elapsed=2328.0s
L local_update=3800 loss=0.134994 elapsed=2334.1s
L local_update=3810 loss=0.108231 elapsed=2340.3s
L local_update=3820 loss=0.138556 elapsed=2346.6s
L local_update=3830 loss=0.107917 elapsed=2352.6s
L local_update=3840 loss=0.141308 elapsed=2358.8s
L local_update=3850 loss=0.109070 elapsed=2364.9s
L local_update=3860 loss=0.096289 elapsed=2371.1s
L local_update=3870 loss=0.120059 elapsed=2377.1s
L local_update=3880 loss=0.131338 elapsed=2383.3s
L local_update=3890 loss=0.118818 elapsed=2389.4s
L local_update=3900 loss=0.108010 elapsed=2395.5s
L local_update=3910 loss=0.072238 elapsed=2401.6s
L local_update=3920 loss=0.088450 elapsed=2407.7s
L local_update=3930 loss=0.149271 elapsed=2413.7s
L local_update=3940 loss=0.093105 elapsed=2419.9s
L local_update=3950 loss=0.124231 elapsed=2426.1s
L local_update=3960 loss=0.122979 elapsed=2432.2s
L local_update=3970 loss=0.084703 elapsed=2438.4s
L local_update=3980 loss=0.128875 elapsed=2444.4s
L local_update=3990 loss=0.140774 elapsed=2450.5s
L local_update=4000 loss=0.123850 elapsed=2456.6s
L local_update=4010 loss=0.069174 elapsed=2462.7s
L local_update=4020 loss=0.179023 elapsed=2468.8s
L local_update=4030 loss=0.111946 elapsed=2475.0s
L local_update=4040 loss=0.105181 elapsed=2481.1s
L local_update=4050 loss=0.156560 elapsed=2487.2s
L local_update=4060 loss=0.100108 elapsed=2493.3s
L local_update=4070 loss=0.103636 elapsed=2499.4s
L local_update=4080 loss=0.099327 elapsed=2505.4s
L local_update=4090 loss=0.132399 elapsed=2511.5s
L local_update=4100 loss=0.108170 elapsed=2517.6s
L local_update=4110 loss=0.095953 elapsed=2523.9s
L local_update=4120 loss=0.115446 elapsed=2530.2s
L local_update=4130 loss=0.132634 elapsed=2536.2s
L local_update=4140 loss=0.134520 elapsed=2542.4s
L local_update=4150 loss=0.090901 elapsed=2548.5s
L local_update=4160 loss=0.082176 elapsed=2554.7s
L local_update=4170 loss=0.130558 elapsed=2560.8s
L local_update=4180 loss=0.084271 elapsed=2566.9s
L local_update=4190 loss=0.103699 elapsed=2573.0s
L local_update=4200 loss=0.154955 elapsed=2579.2s
L local_update=4210 loss=0.139666 elapsed=2585.3s
L local_update=4220 loss=0.052011 elapsed=2591.4s
L local_update=4230 loss=0.124381 elapsed=2597.6s
L local_update=4240 loss=0.097200 elapsed=2603.7s
L local_update=4250 loss=0.097269 elapsed=2609.7s
L local_update=4260 loss=0.110117 elapsed=2615.9s
L local_update=4270 loss=0.155339 elapsed=2622.0s
L local_update=4280 loss=0.110795 elapsed=2628.1s
L local_update=4290 loss=0.143687 elapsed=2634.2s
L local_update=4300 loss=0.112760 elapsed=2640.3s
L local_update=4310 loss=0.154850 elapsed=2646.5s
L local_update=4320 loss=0.119247 elapsed=2652.7s
L local_update=4330 loss=0.089063 elapsed=2658.9s
L local_update=4340 loss=0.066955 elapsed=2665.0s
L local_update=4350 loss=0.087551 elapsed=2671.0s
L local_update=4360 loss=0.076020 elapsed=2677.1s
L local_update=4370 loss=0.113750 elapsed=2683.3s
L local_update=4380 loss=0.128950 elapsed=2689.4s
L local_update=4390 loss=0.095036 elapsed=2695.6s
L local_update=4400 loss=0.081864 elapsed=2701.7s
L local_update=4410 loss=0.114898 elapsed=2707.9s
L local_update=4420 loss=0.096715 elapsed=2714.0s
L local_update=4430 loss=0.164779 elapsed=2720.1s
L local_update=4440 loss=0.135021 elapsed=2726.2s
